DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belgium,2019,11455519,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belgium,2020,11522440,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belgium,2021,11554767,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belgium,2022,11617623,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belgium,2023,11742796,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belgium,2024,11817096,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belgium,2025,11900123,p,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2014,7117453,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2015,7029690,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2016,6938759,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2017,6849518,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2018,6757418,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2019,6664177,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2020,6569275,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2021,6532117,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2022,6482484,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2023,6447710,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2024,6445481,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Bulgaria,2025,6437360,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belarus,2014,9468154,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belarus,2015,9480868,e,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belarus,2016,9498364,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Belarus,2017,9504704,,
