DATAFLOW,LAST UPDATE,freq,unit,tra_meas,airline,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-07,43245,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-08,41881,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-09,34927,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-10,28878,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-11,20638,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2012-12,21903,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-01,22456,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-02,18827,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-03,22466,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-04,28210,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-05,29794,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-06,32564,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-07,40148,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-08,40193,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-09,34307,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-10,30093,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-11,21940,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2013-12,22328,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-01,21473,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-02,18662,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-03,18993,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-04,20071,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-05,22263,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-06,24619,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-07,30871,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-08,30188,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-09,27367,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-10,23040,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-11,24142,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2014-12,26890,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-01,21688,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-02,23424,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-03,12302,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-04,26327,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-05,28304,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-06,40554,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-07,39053,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-08,38322,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-09,33153,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-10,30534,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-11,23340,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2015-12,23530,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-01,22953,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-02,21420,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-03,24306,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-04,28657,,
ESTAT:AVIA_TF_APAL(1.0),16/12/25 23:00:00,Monthly,Passenger,Passengers carried,All airlines,BYDGOSZCZ/SZWEDEROWO airport,2016-05,29542,,
