DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2007-10,1989500,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2007-11,1760146,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2007-12,1763286,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2008-01,1732307,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2008-02,1814263,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2008-03,2124827,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2008-04,1965575,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2008-05,2154692,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2008-06,2254482,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2008-07,2348849,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2008-08,2336716,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2008-09,2203144,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2008-10,1953453,,
