DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2012,50.8,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2013,50.5,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2014,50.4,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2015,50.0,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2016,49.5,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2017,50.7,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2018,51.2,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2019,51.4,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2020,52.2,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2021,52.6,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2022,54.6,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2023,55.0,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Bosnia and Herzegovina,2024,59.7,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,1995,117.8,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,1996,114.3,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,1997,112.2,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,1998,114.0,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,1999,114.2,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2000,110.1,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2001,110.6,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2002,109.2,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2003,109.7,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2004,111.0,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2005,110.6,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2006,111.4,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2007,113.5,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2008,113.9,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2009,115.1,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2010,114.1,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2011,114.6,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2012,115.2,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2013,114.2,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2014,113.4,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2015,113.1,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2016,115.4,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2017,116.6,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2018,117.2,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2019,117.1,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Belgium,2020,116.2,,
