DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2007-05,85.45,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2007-06,85.45,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2007-07,85.39,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2007-08,85.42,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2007-09,85.63,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2007-10,86.20,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2007-11,86.61,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2007-12,87.14,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2008-01,86.89,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2008-02,87.16,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2008-03,87.95,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2008-04,88.18,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2008-05,88.66,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2008-06,88.90,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2008-07,88.64,,
ESTAT:PRC_HICP_MIDX(1.0),06/02/26 23:00:00,Monthly,"Index, 2015=100",All-items HICP,Austria,2008-08,88.48,,
