DATAFLOW,LAST UPDATE,freq,statinfo,unit,currency,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2015-06,27.307,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2015-07,27.094,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2015-08,27.041,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2015-09,27.089,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2015-10,27.105,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2015-11,27.039,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2015-12,27.027,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-01,27.027,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-02,27.040,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-03,27.051,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-04,27.031,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-05,27.026,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-06,27.061,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-07,27.042,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-08,27.025,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-09,27.022,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-10,27.022,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-11,27.033,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2016-12,27.031,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-01,27.021,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-02,27.021,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-03,27.021,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-04,26.823,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-05,26.572,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-06,26.264,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-07,26.079,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-08,26.101,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-09,26.075,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-10,25.766,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-11,25.538,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2017-12,25.645,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-01,25.452,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-02,25.319,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-03,25.429,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-04,25.365,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-05,25.640,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-06,25.778,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-07,25.850,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-08,25.681,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-09,25.614,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-10,25.819,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-11,25.935,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2018-12,25.835,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2019-01,25.650,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2019-02,25.726,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2019-03,25.676,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2019-04,25.677,,
