DATAFLOW,LAST UPDATE,freq,accomunit,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,1993,3.9,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,1994,0.4,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,1995,5.5,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2001,1,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2002,191.7,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2003,5.5,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2004,9.2,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2005,10.35,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2006,4.89,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2007,10.77,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2008,6.88,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2009,7.02,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2010,4.55,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2011,8.08,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2012,4.5,b,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2013,2.7,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2014,4.87,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2015,1.75,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2016,2.07,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,Holiday and other short-stay accommodation,Spain,2017,6.13,,
