DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-11,62939076,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-12,64057641,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-01,57459097,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-02,62786974,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-03,71315987,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-04,75004645,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-05,81414043,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-06,94431252,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-07,114133275,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-08,129345579,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-09,94461427,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-10,79873101,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-11,66010816,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-12,65156525,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2019-01,58545329,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2019-02,61854410,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2019-03,72386710,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2019-04,79274852,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2019-05,82654592,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2019-06,97824833,,
