date,nights,log_nights,hicp_PL,hicp_origins_wavg,hicp_ratio,exr_pln,relprice_wavg,relprice_DE,gdp_origins_wavg,gdp_DE,pop_origins_wavg,pop_DE,gdp_pc_origins_wavg,gdp_pc_DE,cci_DE,cci_origins_wavg_noUK,seats,log_seats,nights_lag1,nights_lag12,gdp_origins_lag3,cci_DE_lag2,seats_lag6,covid_strong,covid_post,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12,trend,nights_yoy
2017-02-01,863482.0,13.668729489056021,101.3,100.88094295413593,1.0041539762971345,4.3081,0.3718285281459237,0.23281035654457952,450499.0721652715,741327.7261074954,57259455.1151534,82540312.72575873,7881.04222623604,8981.401955315658,-1.4,-2.741717388111167,3022897.0,14.921726531875771,838952.0,809059.0,446921.49129883,-0.3,4363213.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,0.06726703491339947
2017-03-01,1100166.0,13.910972544427203,101.3,101.65398485917152,0.9965177473400387,4.2871,0.3728201710841719,0.23325791327470785,451365.03322158393,742847.0706857078,57271138.96019885,82558502.94828841,7894.054619711167,8997.826319004353,-0.4,-1.7122865176746156,3472786.0,15.060467999583413,863482.0,1082676.0,448156.86523485003,-0.1,4239928.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0.016154417388027476
2017-04-01,1261882.0,14.048115607801307,101.6,102.24006518801387,0.9937395854860144,4.2374,0.3756158902098083,0.23529898928430798,452222.05716948677,744258.4,57284393.928988144,82579911.46032274,7906.913828935682,9012.584136247164,0.4,-1.052943489903067,3675568.0,15.11721850857613,1100166.0,1162426.0,449402.9511021553,-1.4,3638322.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75,0.08555899472310502
2017-05-01,1447273.0,14.18519234497874,101.5,102.24835448385777,0.9926810119572544,4.1998,0.3787808096713433,0.2374048871819231,452998.9835212516,745715.0425447355,57297534.81045071,82601691.51517443,7918.448176041639,9027.842273759528,1.3,-1.1013407885614188,4145918.0,15.237635034883976,1261882.0,1411516.0,450499.0721652715,-0.4,3237419.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0.02533233771349397
2017-06-01,1622510.0,14.299485507198417,101.4,102.30719940965618,0.9911325946278366,4.2113,0.3774427871133489,0.2353673084418246,453860.267955039,747634.0432956996,57311431.29125777,82625073.05452816,7930.97434598195,9048.512947181309,2.0,-0.3210554885809689,4594095.0,15.340282558834787,1447273.0,1519582.0,451365.03322158393,0.4,3317961.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77,0.06773441643820477
2017-07-01,2029532.0,14.523316275291496,101.2,101.90654401182917,0.9930667454315087,4.2362,0.37332140666358726,0.23216068786367156,454873.01339909615,750181.4,57325180.72474649,82648335.02914649,7945.380058955228,9076.787811096781,2.0,-0.28169315199194545,4897398.0,15.404214805821463,1622510.0,1923597.0,452222.05716948677,1.3,3349244.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78,0.05507130651586589
2017-08-01,2036735.0,14.526859084453426,101.0,102.17005751647669,0.98854794110018,4.2666,0.3704981735014606,0.22982762018277894,456141.80311138125,753545.4706972311,57339693.367723145,82672806.17536516,7963.170414021485,9114.79246390662,1.4,0.006798198869154337,4906149.0,15.406000078139531,2029532.0,1891596.0,452998.9835212516,2.0,3022897.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79,0.07672832888206571
2017-09-01,1721724.0,14.358837253191174,101.2,102.58459236917152,0.9865029207876679,4.2693,0.3691514544554043,0.2301370884792964,457312.84502966015,756544.6132846572,57354509.42746391,82697492.50272158,7979.600522706852,9148.338001418353,1.3,0.17285398352651038,4793848.0,15.382844195774938,2036735.0,1602073.0,453860.267955039,2.0,3472786.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,0.07468511110292719
2017-10-01,1515072.0,14.230974180583237,101.6,102.7114631521337,0.9891787818221669,4.2627,0.3699970132249224,0.2320804165953122,457962.30664708256,757786.3,57369130.27642499,82721372.47935879,7988.991488655849,9160.707532857825,1.6,0.4710016205995302,4309838.0,15.276411106393816,1721724.0,1401005.0,454873.01339909615,1.4,3675568.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81,0.08141798209142714
2017-11-01,1148682.0,13.954126626685602,102.0,102.68999003268094,0.9932808442920157,4.2268,0.37533490569004513,0.2365855966688748,457900.8442025802,756592.5926937622,57384524.26577748,82745816.04174717,7988.875364797742,9143.575214873026,1.5,0.7185142521831338,3646538.0,15.109289056536397,1515072.0,1020120.0,456141.80311138125,1.3,4145918.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82,0.1260263498411951
